fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Cuartos,PSG,1.0,Barcelona,1.0
Cuartos,Bayern,2.0,Arsenal,0.0
Cuartos,Real Madrid,2.0,Manchester City,1.0
Cuartos,PSV,2.0,Atletico Madrid,1.0
Cuartos,Barcelona,1.0,PSG,4.0
Cuartos,Arsenal,3.0,Bayern,2.0
Cuartos,Manchester City,2.0,Real Madrid,2.0
Cuartos,Atletico Madrid,2.0,PSV,1.0
