fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitant,goles_equipo_visitante
Semis,PSG,2.0,Dortmund,,0.0
Semis,Real Madrid,2.0,Bayern,,2.0
Semis,Dortmund,1.0,PSG,,1.0
Semis,Bayern,2.0,Real Madrid,,1.0
