equipo,probabilidad
Copenhague,0.013930261082880672
Leipzig,0.08279306115297004
PSG,0.09773085684247415
Lazio,0.02680918170667601
PSV,0.013798843525495007
Inter,0.06732959523392325
Porto,0.06649728403714736
Napoles,0.029963203083932015
Bayern,0.10951463115472228
Real Sociedad,0.013798843525495007
Manchester City,0.11367618713860171
Barcelona,0.08143507972665148
Arsenal,0.017828981951988787
Atletico Madrid,0.06903802347993691
Dortmund,0.07893814613632381
Real Madrid,0.1169178202207815
