fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Grupos,Zenit,1,Club Brujas,2
Grupos,Dinamo Kiev,0,Juventus,2
Grupos,Leipzig,2,Istanbul Basaksehir,0
Grupos,Rennes,1,Krasnodar,1
Grupos,Lazio,3,Dortmund,1
Grupos,Chelsea,0,Sevilla,0
Grupos,PSG,1,Manchester United,2
Grupos,Barcelona,5,Ferencvaros,1
Grupos,Salzburg,2, Lokomotiv Moscú,2
Grupos,Real Madrid,2,Shakhtar Donetsk,3
Grupos,Ajax,0,Liverpool,1
Grupos,Manchester City,3,Porto,1
Grupos,Midtjylland,0,Atalanta,4
Grupos,Olympiacos,1,Marsella,0
Grupos,Bayern,4,Atlético Madrid,0
Grupos,Inter,2,Mönchengladbach,2
Grupos,Lokomotiv Moscú,1,Bayern,2
Grupos,Shakhtar Donetsk,0,Inter,0
Grupos,Marsella,0,Manchester City,3
Grupos,Liverpool,2,Midtjylland,0
Grupos,Monchengladbach,2,Real Madrid,2
Grupos,Atletico Madrid,3,Salzburg,2
Grupos,Porto,2,Olympiacos,0
Grupos,Atalanta,2,Ajax,2
Grupos,Krasnodar,0,Chelsea,4
Grupos,Istanbul Basaksehir,0,PSG,2
Grupos,Ferencvaros,2,Dinamo Kiev,2
Grupos,Juventus,0,Barcelona,2
Grupos,Club Brujas,1,Lazio,1
Grupos,Manchester United,5,Leipzig,0
Grupos,Dortmund,2,Zenit,0
Grupos,Sevilla,1,Rennes,0
Grupos,Shakhtar Donetsk,0,Mochengladbach,6
Grupos,Lokomotiv Moscú,1,Atletico Madrid,1
Grupos,Salzburg,2,Bayern,6
Grupos,Real Madrid,3,Inter,2
Grupos,Manchester City,3,Olympiacos,0
Grupos,Porto,3,Marsella,0
Grupos,Atalanta,0,Liverpool,5
Grupos,Midtjylland,1,Ajax,2
Grupos,Istanbul Basaksehir,2,Manchester United,1
Grupos,Zenit,1,Lazio,1
Grupos,Ferencvaros,1,Juventus,4
Grupos,Club Brujas,0,Dortmund,3
Grupos,Sevilla,3,Krasnodar,2
Grupos,Chelsea,3,Rennes,0
Grupos,Leipzig,2,PSG,1
Grupos,Barcelona,2,Dinamo Kiev,1
Grupos,Rennes,1,Chelsea,2
Grupos,Krasnodar,1,Sevilla,2
Grupos,Manchester United,4,Istanbul Basaksehir,1
Grupos,Dinamo Kiev,0,Barcelona,4
Grupos,PSG,1,Leipzig,0
Grupos,Lazio,3,Zenit,1
Grupos,Dortmund,3,Club Brujas,0
Grupos,Juventus,2,Ferencvaros,1
Grupos,Olympiacos,0,Manchester City,1
Grupos,Monchengladbach,4,Shakhtar Donetsk,0
Grupos,Marsella,0,Porto,2
Grupos,Liverpool,0,Atalanta,2
Grupos,Inter,0,Real Madrid,2
Grupos,Bayern,3,Salzburg,1
Grupos,Atletico Madrid,0,Lokomotiv Moscú,0
Grupos,Ajax,3,Midtjylland,1
Grupos,Shakhtar Donetsk,2,Real Madrid,0
Grupos,Lokomotiv Moscú,1,Salzburg,3
Grupos,Monchengladbach,2,Inter,3
Grupos,Marsella,2,Olympiacos,1
Grupos,Atletico Madrid,1,Bayern,1
Grupos,Liverpool,1,Ajax,0
Grupos,Atalanta,1,Midtjylland,1
Grupos,Porto,0,Manchester City,0
Grupos,Istanbul Basaksehir,3,Leipzig,4
Grupos,Krasnodar,1,Rennes,0
Grupos,Manchester United,1,PSG,3
Grupos,Dortmund,1,Lazio,1
Grupos,Ferencvaros,0,Barcelona,3
Grupos,Juventus,3,Dinamo Kiev,0
Grupos,Club Brujas,3,Zenit,0
Grupos,Sevilla,0,Chelsea,4
Grupos,Zenit,1,Dortmund,2
Grupos,Lazio,2,Club Brujas,2
Grupos,Leipzig,3,Manchester United,2
Grupos,Dinamo Kiev,1,Ferencvaros,0
Grupos,Rennes,1,Sevilla,3
Grupos,Barcelona,0,Juventus,3
Grupos,Chelsea,1,Krasnodar,1
Grupos,Midtjylland,1,Liverpool,1
Grupos,PSG,5,Istanbul Basaksehir,1
Grupos,Ajax,0,Atalanta,1
Grupos,Bayern,2,Lokomotiv Moscú,0
Grupos,Real Madrid,2,Monchengladbach,0
Grupos,Salzburg,0,Atletico Madrid,2
Grupos,Manchester City,3,Marsella,0
Grupos,Inter,0,Shakhtar Donetsk,0
Grupos,Olympiacos,0,Porto,2
Octavos,Leipzig,0,Liverpool,2
Octavos,Barcelona,1,PSG,4
Octavos,Sevilla,2,Dortmund,3
Octavos,Porto,2,Juventus,1
Octavos,Lazio,1,Bayern,4
Octavos,Atletico de Madrid,0,Chelsea,1
Octavos,Atalanta,0,Real Madrid,1
Octavos,Monchengladbach,0,Manchester City,2
Octavos,PSG,1,Barcelona,1
Octavos,Liverpool,2,Leipzig,0
Octavos,Dortmund,2,Sevilla,2
Octavos,Juventus,3,Porto,2
Octavos,Real Madrid,3,Atalanta,1
Octavos,Manchester City,2,Monchengladbach,0
Octavos,Chelsea,2,Atletico de Madrid,0
Octavos,Bayern,2,Lazio,1
Cuartos,Manchester City,2,Dortmund,1
Cuartos,Porto,0,Chelsea,2
Cuartos,Bayern,2,PSG,3
Cuartos,Real Madrid,3,Liverpool,1
Cuartos,Chelsea,0,Porto,1
Cuartos,PSG,0,Bayern,1
Cuartos,Liverpool,0,Real Madrid,0
Cuartos,Dortmund,1,Manchester City,2
Semifinal,Real Madrid,1,Chelsea,1
Semifinal,PSG,1,Manchester City,2
Semifinal,Chelsea,2,Real Madrid,0
Semifinal,Manchester City,2,PSG,0
Final,Manchester City,0,Chelsea,1
