id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta,goles_equipo_local,goles_equipo_visitante
113,Real Madrid,Chelsea,,Cuartos,2-0,2-0,2,0
114,Chelsea,Real Madrid,,Cuartos,0-2,0-2,0,2
115,Manchester City,Bayern,,Cuartos,3-0,1-1,3,0
116,Bayern,Manchester City,,Cuartos,1-1,0-3,1,1
117,Milan,Napoles,,Cuartos,1-0,1-1,1,0
118,Napoles,Milan,,Cuartos,1-1,0-1,1,1
119,Benfica,Inter,,Cuartos,0-2,3-3,0,2
120,Inter,Benfica,,Cuartos,3-3,2-0,3,3
121,Real Madrid,Manchester City,,Semifinales,1-1,0-4,1,1
122,Manchester City,Real Madrid,,Semifinales,4-0,1-1,4,0
123,Milan,Inter,,Semifinales,0-2,0-1,0,2
124,Inter,Milan,,Semifinales,1-0,2-0,1,0
125,Manchester City,Inter,1-0,Final,,,1,0
