fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Cuartos,PSG,,Barcelona,
Cuartos,Bayern,,Arsenal,
Cuartos,Real Madrid,,Manchester City,
Cuartos,PSV,,Atletico Madrid,
Cuartos,Barcelona,,PSG,
Cuartos,Arsenal,,Bayern,
Cuartos,Manchester City,,Real Madrid,
Cuartos,Atletico Madrid,,PSV,
