fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Semifinales,PSG,2.0,Inter,1.0
Semifinales,Real Madrid,2.0,Bayern,2.0
Semifinales,Inter,1.0,PSG,1.0
Semifinales,Bayern,2.0,Real Madrid,1.0
