fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
cuartos,PSG,2.0,Napoles,1.0
Cuartos,Bayern,4.0,Arsenal,0.0
Cuartos,Real Madrid,2.0,Manchester City,2.0
Cuartos,Dortmund,1.0,Inter,2.0
Cuartos,Napoles,0.0,PSG,0.0
Cuartos,Arsenal,2.0,Bayern,2.0
Cuartos,Manchester city,0.0,Real Madrid,1.0
Cuartos,Inter,2.0,Dortmund,0.0
