fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
cuartos,PSG,2.0,Barcelona,1.0
Cuartos,Manchester City,2.0,Arsenal,0.0
Cuartos,Real Madrid,2.0,Bayern,2.0
Cuartos,Dortmund,1.0,Atletico Madrid,1.0
Cuartos,Barcelona,2.0,PSG,3.0
Cuartos,Arsenal,2.0,Manchester City,1.0
Cuartos,Bayern,1.0,Real Madrid,1.0
Cuartos,Atletico Madrid,2.0,Dortmund,1.0

